id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
21,0,9,1,3,0,12,5,0.71,2,5,1,15,4,0.75,4,2,5,1,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,0.8,5,8,12,0.5,17,30,4,13,10,42.86,7,N
22,0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,0,0,7.92,1,7.92,0,5,1,0.44,7.92,1,0,0,2,0.14,4,1,2,1,7,0,6,N
23,0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,1,1,3.57,4,57.06,0,9,0.25,3.17,14.26,1,0,0,2,0.14,4,5,1,2,7,0,6,N
24,0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,1,1,2.5,2,10,0,5,0.5,0.56,5,1,0,0,2,0.14,4,1,1,1,7,0,6,N
25,0,1,3,0,0,0,1,0.17,0,1,1,4,1,0,6,0,1,1,8.51,3,76.62,0.01,11,0.33,4.26,25.54,1,0,0,5,0.13,4,7,2,3,8,0,6,N
26,0,1,0,0,0,0,1,0.17,0,1,1,1,1,0,6,0,1,1,23.22,0.5,5.8,0,5,2,0.32,11.61,1,0,0,2,0.1,4,1,4,1,10,0,6,N
27,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,1,0,0,2,0.25,6,14,4,7,4,0,2,N
28,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
29,0,1,0,1,0,0,1,0.33,0,1,1,1,1,0,2,0,0,0,13.5,2,54,0.01,9,0.5,3,27,1,0,0,2,0.2,4,5,4,4,5,33.33,3,N
30,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
31,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
32,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
33,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,11.3,6.13,423.78,0.02,20,0.16,23.54,69.19,1,0,0,3,0.25,7,13,4,7,4,0,2,N
34,4,7,3,4,2,12,4,0.18,6,3,0.75,17,1,0,18,0,0,0,20.39,21.87,9749.86,0.15,90,0.05,541.66,445.88,0.25,3,6,15,0.13,41,49,15,16,30,25,22,N
35,0,7,1,0,0,10,4,0.8,2,4,1,12,1,0,5,0,4,1,16.93,9,1371.32,0.05,39,0.11,76.18,152.37,0.25,4,5,10,0.57,12,27,6,9,7,0,5,N
36,2,1,1,1,0,0,1,0.14,0,1,1,2,1,0,6,0,1,1,19.86,6.5,838.88,0.04,36,0.15,46.6,129.06,1,0,0,3,0.09,13,23,6,6,11,14.29,7,N
37,6,1,1,1,0,0,1,0.05,0,1,1,2,1,0,18,0,1,1,13.94,27.75,10733.21,0.13,99,0.04,596.29,386.78,1,0,0,3,0.04,37,62,6,9,27,5.26,19,N
38,4,1,2,1,3,0,1,0.13,0,1,1,3,1,0,7,0,1,1,5,27,3642.78,0.04,39,0.04,202.38,134.92,1,0,0,4,0.06,12,27,2,9,17,36.36,8,N
39,2,1,1,1,0,0,1,0.14,0,1,1,2,1,0,6,0,1,1,19.86,6.5,838.88,0.04,36,0.15,46.6,129.06,1,0,0,3,0.09,13,23,6,6,11,14.29,7,N
40,1,3,0,0,0,4,2,0.22,2,1,0.5,5,1,0,9,0,2,1,12.93,9.9,1267.2,0.04,32,0.1,70.4,128,0.5,1,2,5,0.17,9,23,5,11,12,0,9,N
41,0,7,1,0,0,10,4,0.8,2,4,1,12,1,0,5,0,4,1,14.75,8,944.22,0.04,31,0.13,52.46,118.03,0.25,4,5,10,0.57,12,19,6,8,7,0,5,N
42,4,7,3,2,2,12,4,0.09,6,2,0.5,17,1,0,45,0,4,1,35.53,29.11,30097.78,0.34,205,0.03,1672.1,1034.09,0.25,3,6,15,0.07,79,126,19,14,61,8.16,47,N
43,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,26.94,2,107.78,0.02,17,0.5,5.99,53.89,1,0,0,2,0.14,8,9,6,3,7,0,5,N
44,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
45,0,1,3,0,0,0,1,0.25,0,1,1,4,1,0,4,0,1,1,16.05,3.75,225.86,0.02,19,0.27,12.55,60.23,1,0,0,5,0.17,6,13,4,5,6,0,4,N
46,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
47,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
48,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
49,6,1,13,2,2,0,1,0.06,0,1,1,20,1,0,15,0,1,1,17.64,23.25,9537.7,0.14,105,0.04,529.87,410.22,1,0,0,21,0.04,31,74,6,9,27,21.05,17,N
50,1,11,0,0,0,20,6,0.3,10,1,0.17,21,1,0,20,0,0,0,13.96,12,2010.28,0.06,44,0.08,111.68,167.52,0.17,5,10,17,0.26,18,26,6,8,23,0,20,N
51,0,17,1,3,3,24,9,0.27,8,3,0.33,30,8,0.88,30,2,7,0.78,15.55,36,20153.67,0.19,113,0.03,1119.65,559.82,0.89,8,12,23,0.24,52,61,13,18,38,16.67,33,N
52,2,21,2,3,5,28,11,0.32,8,3,0.27,34,10,0.9,31,4,9,0.82,19.87,31.5,19711.37,0.21,123,0.03,1095.08,625.76,0.91,10,14,25,0.24,56,67,16,18,45,20.51,34,N
53,2,15,0,2,2,24,8,0.35,10,1,0.13,27,6,0.71,21,0,6,0.75,15.56,19.2,5736.61,0.1,67,0.05,318.7,298.78,0.75,7,12,21,0.28,32,35,10,12,29,16,23,N
54,0,5,0,1,0,6,3,0.25,2,1,0.33,8,3,1,11,2,3,1,20.61,6.5,870.87,0.04,31,0.15,48.38,133.98,1,2,3,7,0.2,13,18,10,10,15,8.33,12,N
55,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,N
56,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,N
57,0,5,0,1,0,6,3,0.25,2,1,0.33,8,3,1,11,2,3,1,20.61,6.5,870.87,0.04,31,0.15,48.38,133.98,1,2,3,7,0.2,13,18,10,10,15,8.33,12,N
58,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,N
59,0,7,0,1,0,8,4,0.31,2,1,0.25,10,4,1,12,3,4,1,25.42,6.67,1129.72,0.06,38,0.15,62.76,169.46,1,3,4,8,0.24,16,22,12,10,17,7.69,13,N
60,1,7,1,2,0,12,4,0.29,6,2,0.5,12,1,0,12,0,3,0.75,15.57,6.42,641.1,0.03,27,0.16,35.62,99.91,0.25,3,6,10,0.24,11,16,6,7,17,14.29,14,N
61,1,5,0,1,1,6,3,0.25,2,1,0.33,8,3,1,11,2,3,1,23.04,5.91,804.59,0.05,31,0.17,44.7,136.16,1,2,3,7,0.18,13,18,11,10,17,15.38,12,N
62,1,5,0,1,1,6,3,0.25,2,1,0.33,8,3,1,11,2,3,1,23.04,5.91,804.59,0.05,31,0.17,44.7,136.16,1,2,3,7,0.18,13,18,11,10,17,15.38,12,N
63,1,5,1,1,1,6,3,0.27,2,2,0.67,8,3,1,10,2,3,1,18.52,8.27,1267.77,0.05,33,0.12,70.43,153.25,1,2,3,7,0.19,13,20,11,14,16,16.67,11,N
64,1,9,0,1,1,12,5,0.36,4,1,0.2,15,4,0.75,13,2,5,1,20.31,10.29,2150.69,0.07,45,0.1,119.48,208.97,0.8,4,6,12,0.26,19,26,12,13,19,13.33,14,N
65,2,7,0,1,0,8,4,0.44,2,1,0.25,9,1,0,8,3,4,1,22.78,6.36,922.39,0.05,33,0.16,51.24,144.95,0.25,3,4,7,0.27,14,19,11,10,15,11.11,9,N
66,11,19,1,4,11,26,10,0.31,8,2,0.2,30,7,0.67,28,3,9,0.9,31.21,30.6,29223.69,0.32,176,0.03,1623.54,955.02,0.7,9,13,22,0.17,85,91,25,18,58,34.88,32,N
67,11,19,1,5,12,30,10,0.2,12,2,0.2,32,7,0.67,46,3,5,0.5,32.89,32.59,34940.42,0.36,193,0.03,1941.13,1072.04,0.7,9,15,24,0.13,88,105,27,20,78,26.98,51,N
68,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
69,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
70,0,9,1,3,0,12,5,0.71,2,5,1,15,4,0.75,4,0,5,1,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,0.8,5,8,12,0.5,17,30,4,13,10,42.86,7,N
71,10,7,7,0,13,8,4,0.17,2,4,1,29,4,1,23,0,4,1,41.58,21.64,19463.36,0.3,174,0.05,1081.3,899.57,1,3,4,27,0.08,68,106,22,14,51,36.11,23,N
72,2,1,4,3,7,0,1,0.1,0,1,1,8,1,0,7,0,1,1,27.17,9.38,2388.32,0.08,58,0.11,132.68,254.75,1,0,0,9,0.04,25,33,12,9,23,58.82,10,N
73,4,1,4,6,8,0,1,0.05,0,1,1,19,1,0,16,0,1,1,38.03,18.56,13102.64,0.24,152,0.05,727.92,705.87,1,0,0,20,0.03,66,86,16,9,38,46.67,22,N
74,3,1,3,0,6,0,1,0.08,0,1,1,6,1,0,12,0,1,1,31.09,9.38,2732.13,0.1,62,0.11,151.79,291.43,1,0,0,7,0.04,30,32,16,10,25,33.33,12,N
75,4,1,6,1,5,0,1,0.08,0,1,1,10,1,0,11,0,1,1,31.2,6.68,1393.13,0.07,50,0.15,77.4,208.5,1,0,0,11,0.04,21,29,11,7,24,35.29,12,N
76,4,1,4,1,4,0,1,0.08,0,1,1,9,1,0,11,0,1,1,26.16,8.59,1930.72,0.07,52,0.12,107.26,224.74,1,0,0,10,0.04,21,31,11,9,23,31.25,12,N
77,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,1,0,0,2,0.25,6,14,4,7,4,0,2,N
78,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
79,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
80,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
81,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,11.3,6.13,423.78,0.02,20,0.16,23.54,69.19,1,0,0,3,0.25,7,13,4,7,4,0,2,N
82,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
83,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
84,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
85,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
86,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
87,0,9,1,3,0,12,5,0.71,2,5,1,15,4,0.75,4,0,5,1,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,0.8,5,8,12,0.5,17,30,4,13,10,42.86,7,N
88,0,1,1,0,2,0,1,0.5,0,1,1,2,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,3,0.17,1,3,1,3,6,50,2,N
89,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,1,0,0,3,0.25,5,9,4,7,4,0,2,N
90,0,5,0,0,0,8,3,0.38,4,1,0.33,12,1,0,8,0,3,1,13.74,6,494.72,0.03,23,0.17,27.48,82.45,0.33,2,4,11,0.3,12,11,6,6,10,0,8,N
91,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,1,0,0,2,0.25,6,14,4,7,4,0,2,N
92,1,5,0,2,0,6,3,0.25,2,1,0.33,8,3,1,10,0,3,1,19.66,7,963.25,0.05,33,0.14,53.51,137.61,1,2,3,7,0.18,14,19,9,9,17,16.67,12,N
93,1,3,3,2,0,4,2,0.14,2,2,1,8,1,0,12,0,2,1,22.36,8.55,1634.39,0.06,45,0.12,90.8,191.16,0.5,1,2,8,0.11,19,26,10,9,18,14.29,14,N
94,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
95,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
96,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
97,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,11.3,6.13,423.78,0.02,20,0.16,23.54,69.19,1,0,0,3,0.25,7,13,4,7,4,0,2,N
98,1,1,6,1,0,0,1,0.08,0,1,1,13,1,0,11,0,1,1,14.59,30,13127.15,0.15,112,0.03,729.29,437.57,1,0,0,14,0.07,40,72,6,9,15,8.33,12,N
99,1,9,1,4,0,16,5,0.28,6,3,0.6,15,5,1,14,0,4,0.8,14.66,21.64,6864.9,0.11,66,0.05,381.38,317.29,1,5,8,12,0.24,28,38,11,17,21,22.22,18,N
100,1,5,1,1,0,8,3,0.3,4,1,0.33,13,1,0,9,0,3,1,13.14,11.57,1758.86,0.05,38,0.09,97.71,152,0.33,2,4,12,0.23,18,20,7,9,13,10,10,N
101,1,5,1,1,0,8,3,0.25,4,1,0.33,13,1,0,11,0,3,1,15.79,18.33,5308.77,0.1,67,0.05,294.93,289.57,0.33,2,4,12,0.2,30,37,9,11,15,8.33,12,N
102,1,1,6,1,0,0,1,0.08,0,1,1,13,1,0,11,0,1,1,14.59,30,13127.15,0.15,112,0.03,729.29,437.57,1,0,0,14,0.07,40,72,6,9,15,8.33,12,N
103,1,5,1,1,0,8,3,0.3,4,1,0.33,13,1,0,9,0,3,1,12.83,10.29,1357.71,0.04,33,0.1,75.43,132,0.33,2,4,12,0.23,16,17,7,9,13,10,10,N
104,2,7,2,1,0,12,4,0.31,6,1,0.25,17,1,0,12,0,3,0.75,12.86,14.78,2807.62,0.06,42,0.07,155.98,189.99,0.25,3,6,15,0.24,19,23,9,14,17,7.69,13,N
105,1,5,1,1,0,8,3,0.3,4,1,0.33,13,1,0,9,0,3,1,13.14,11.57,1758.86,0.05,38,0.09,97.71,152,0.33,2,4,12,0.23,18,20,7,9,13,10,10,N
106,0,3,1,0,0,4,2,0.33,2,2,1,5,1,0,6,0,2,1,10.48,9.75,996.32,0.03,25,0.1,55.35,102.19,0.5,1,2,5,0.25,6,19,4,13,8,0,6,N
107,1,9,1,4,0,12,5,0.28,4,3,0.6,15,5,1,14,0,4,0.8,15.76,19.09,5743.08,0.1,64,0.05,319.06,300.83,1,4,6,12,0.24,28,36,11,15,21,22.22,18,N
108,0,5,0,2,0,6,3,0.27,2,1,0.33,8,3,1,9,0,3,1,17.56,6.75,800.12,0.04,29,0.15,44.45,118.54,1,2,3,7,0.2,12,17,8,9,15,18.18,11,N
109,0,3,3,2,0,4,2,0.15,2,2,1,8,1,0,11,0,2,1,23.6,8.1,1548.37,0.06,45,0.12,86.02,191.16,0.5,1,2,8,0.13,18,27,10,9,16,15.38,13,N
110,1,3,1,1,0,4,2,0.33,2,1,0.5,8,1,0,5,0,0,0,10.34,10.83,1213.33,0.04,28,0.09,67.41,112,0.5,1,2,8,0.22,13,15,6,10,9,16.67,6,N
111,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
112,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
113,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,0,2,N
114,1,5,1,1,0,8,3,0.3,4,1,0.33,13,1,0,9,0,0,0,11.8,10,1180.28,0.04,31,0.1,65.57,118.03,0.33,2,4,12,0.23,15,16,6,8,13,10,10,N
115,3,3,0,1,0,4,2,0.25,2,1,0.5,6,1,0,7,2,2,1,8.51,8,544.91,0.02,19,0.13,30.27,68.11,0.5,1,2,6,0.14,8,11,4,8,14,12.5,8,N
116,1,5,0,0,0,8,3,1.5,2,1,0.33,7,1,0,2,1,3,1,13.29,4.5,269.08,0.02,18,0.22,14.95,59.79,0.33,3,4,6,0.6,6,12,4,6,5,0,2,N
117,1,7,0,0,0,10,4,1.33,2,1,0.25,9,1,0,3,1,4,1,16.58,4.8,381.92,0.03,23,0.21,21.22,79.57,0.25,4,5,7,0.67,8,15,5,6,6,0,3,N
118,0,3,1,0,0,4,2,0.22,2,1,0.5,7,1,0,9,1,2,1,13.29,3.75,186.86,0.02,15,0.27,10.38,49.83,0.5,1,2,7,0.18,5,10,4,6,11,0,9,N
119,1,1,0,0,1,0,1,0.5,0,1,1,1,1,0,2,2,1,1,16.92,3.5,207.22,0.02,16,0.29,11.51,59.21,1,0,0,2,0.14,6,10,6,7,7,33.33,2,N
120,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
121,0,9,1,3,0,12,5,0.71,2,5,1,15,4,0.75,4,2,5,1,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,0.8,5,8,12,0.5,17,30,4,13,10,42.86,7,N
122,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,2,0.17,3,1,1,1,6,0,5,N
123,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,3.7,3,33.28,0,7,0.33,1.85,11.09,1,0,0,2,0.17,3,4,1,2,6,0,5,N
124,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,2.67,1.5,6,0,4,0.67,0.33,4,1,0,0,2,0.17,3,1,1,1,6,0,5,N
125,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,1,1,16,0.5,4,0,4,2,0.22,8,1,0,0,2,0.13,3,1,3,1,8,0,5,N
126,1,1,1,1,0,0,1,0.17,0,1,1,2,1,0,5,0,1,1,14.17,12.8,2320.92,0.06,49,0.08,128.94,181.32,1,0,0,3,0.11,16,33,5,8,9,16.67,6,N
127,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,1,0,0,2,0.25,6,14,4,7,4,0,2,N
128,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
129,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
130,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,2,N
131,0,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,11.3,6.13,423.78,0.02,20,0.16,23.54,69.19,1,0,0,3,0.25,7,13,4,7,4,0,2,N
